(Product),(Customer),(Purchase Date),Cost Amount,Profit After Tax,Profit Before Tax,Discounted Sales,Undiscounted Sales
Hon 5100 Series Wood Tables,Rick Reed,5/29/2002,9766.39,628.576,785.72,10552.1,12979.1
Newell 339,Jack O_Briant,5/30/2002,114.85,13.52,16.9,131.75,139.655
StarTAC 7797,Tonja Turnell,5/30/2002,1060.71,618.288,772.86,1833.57,2273.63
Assorted Color Push Pins,Hilary Holden,5/31/2002,84.56,-0.55,-0.55,84.01,94.091
Avery 474,Pierre Wener,5/31/2002,36.48,13.848,17.31,53.79,58.093
Avery 501,Henia Zydlo,5/31/2002,51.36,52.008,65.01,116.37,128.007
Maxell 4.7GB DVD-RW 3/Pack,Stephanie Ulpright,5/31/2002,49.77,20.92,26.15,75.92,80.475
Xerox 1983,Stephanie Ulpright,5/31/2002,380.64,-85.27,-85.27,295.37,319
Portable Personal File Box,Thomas Seio,5/31/2002,11.89,4.464,5.58,17.47,19.217
Ericsson 5125,Jack O_Briant,6/1/2002,3293.27,1413.03,1766.29,5059.56,5767.9
Staples Metal Binder Clips,Jack O_Briant,6/1/2002,29.15,9.36,11.7,40.85,46.569
Xerox 1954,Jack O_Briant,6/1/2002,208.49,-53.19,-53.19,155.3,164.618
Xerox 197,Jack O_Briant,6/1/2002,1031.52,8.176,10.22,1041.74,1250.09
DIXON Oriole Pencils,Rick Reed,6/1/2002,79.02,-7.65,-7.65,71.37,84.217
Avery Poly Binder Pockets,Jasper Cacioppo,6/2/2002,244.61,-104.66,-104.66,139.95,172.138
Longer-Life Soft White Bulbs,Jasper Cacioppo,6/2/2002,195.58,-66.46,-66.46,129.12,147.197
Xerox 1955,Jasper Cacioppo,6/2/2002,671.49,287.024,358.78,1030.27,1164.2
Tennsco Single-Tier Lockers,Maxwell Schwartz,6/2/2002,14020.7,688.92,861.15,14881.8,18453.5
Newell 321,Mary O_Rourke,6/3/2002,8.29,0.464,0.58,8.87,10.112
Avery 497,Hilary Holden,6/3/2002,34.43,27.704,34.63,69.06,80.8
Xerox 214,Tonja Turnell,6/3/2002,84.85,-22.63,-22.63,62.22,65.953
Prang Dustless Chalk Sticks,Mary Zewe,6/3/2002,79.4,-1.2,-1.2,78.2,84.456
i390,Mary O_Rourke,6/4/2002,74.06,31.464,39.33,113.39,121.327
Xerox 1894,Suzanne McNair,6/4/2002,146.5,-24.08,-24.08,122.42,135.886
Xerox 1956,Suzanne McNair,6/4/2002,14.63,1.864,2.33,16.96,18.486
T28 WORLD,Dario Medina,6/4/2002,5822.86,2839.03,3548.79,9371.65,9933.95
SAFCO Folding Chair Trolley,Sharelle Roach-McGee,6/4/2002,1972.18,742.912,928.64,2900.82,3335.94
Hoover Commercial SteamVac,Lena Cacioppo,6/4/2002,379.57,-12.3,-12.3,367.27,433.379
Avery Non-Stick Binders,Mary O_Rourke,6/5/2002,145.85,37.488,46.86,192.71,213.908
OIC Stacking Trays,Karen Seio,6/5/2002,16.32,5.608,7.01,23.33,28.929
Stiletto Hand Letter Openers,Michael Oakman,6/5/2002,207.52,-12.95,-12.95,194.57,231.538
Xerox 1962,Sarah Jordon-Smith,6/5/2002,143.04,-45.09,-45.09,97.95,116.561
Xerox 1995,Sarah Jordon-Smith,6/5/2002,295.92,-46.3,-46.3,249.62,274.582
Newell 345,Laura Armstrong,6/5/2002,901.14,-79.79,-79.79,821.35,969.193
V8162,Laura Armstrong,6/5/2002,1748.75,782.848,978.56,2727.31,3354.59
Tensor Track Tree Floor Lamp,Hilary Holden,6/6/2002,888.44,-188.61,-188.61,699.83,825.799
Avery 490,Pierre Wener,6/6/2002,85.2,114.056,142.57,227.77,275.602
Xerox 1999,Jasper Cacioppo,6/6/2002,386.76,-74.91,-74.91,311.85,339.917
Avery 512,Noel Staavos,6/6/2002,35.5,13.992,17.49,52.99,63.588
Xerox 1906,Sarah Jordon-Smith,6/6/2002,62.9,46.688,58.36,121.26,140.662
Profile 300,Hallie Redmond,6/7/2002,45.94,21.84,27.3,73.24,81.296
Avery 513,Iggy Osterman,6/7/2002,67.44,51.368,64.21,131.65,150.081
Cameo Buff Policy Envelopes,Heather Jas-Hannaway,6/7/2002,1226.83,1382.33,1727.91,2954.74,3663.88
Xerox 205,Karen Seio,6/8/2002,77.68,-27.34,-27.34,50.34,59.905
Microsoft Office Keyboard,Laura Armstrong,6/8/2002,981.82,123.696,154.62,1136.44,1306.91
iDEN i30sx,Grace Kelly,6/8/2002,2731.48,1264.28,1580.35,4311.83,5346.67
Poly Designer Cover & Back,Grace Kelly,6/8/2002,527.02,241.048,301.31,828.33,1018.85
Sony Accessory39,Karen Seio,6/9/2002,669.96,14.16,17.7,687.66,763.303
Xerox 1913,Naresj Patel,6/9/2002,1024.7,1008.86,1261.08,2285.78,2514.36
Logitech Elite Keyboard,Yoseph Carroll-Englig,6/9/2002,996.79,135.304,169.13,1165.92,1259.19
Talkabout T8367,Sue Ann Reed-Freeman,6/9/2002,229.72,70.824,88.53,318.25,375.535
KI Adjustable-Height Table,Elizabeth Moffitt,6/9/2002,221.46,2.832,3.54,225,272.25
Microsoft Office Keyboard,Laura Armstrong,6/9/2002,486.29,72,90,576.29,662.733
Sony Accessory4,Heather Jas-Hannaway,6/9/2002,1777.96,195.128,243.91,2021.87,2244.28
OIC #2 Pencils  Medium Soft,Paul Prost,6/9/2002,100.14,-11.21,-11.21,88.93,96.044
Global Chrome Stack Chair,Pierre Wener,6/10/2002,1559.74,-80.58,-80.58,1479.16,1582.7
Xerox 215,Lela Donovan,6/10/2002,182.75,-47.73,-47.73,135.02,166.075
Avery 484,Sharelle Roach-McGee,6/10/2002,66.08,51.424,64.28,130.36,161.646
Staples 6 Outlet Surge,Hallie Redmond,6/11/2002,119.23,6.048,7.56,126.79,153.416
TDK 4.7GB DVD-R,Karen Seio,6/11/2002,231.58,108.304,135.38,366.96,447.691
StarTAC 7760,Jack O_Briant,6/11/2002,944.33,411.072,513.84,1458.17,1764.39
TIMEPORT P8767,Noel Staavos,6/11/2002,1414.55,590.592,738.24,2152.79,2411.12
Siemens 300 Series Non-Flip,Harold Pawlan,6/11/2002,1118.41,453.872,567.34,1685.75,2073.47
Maxell 4.7GB DVD-R 5/Pack,Hallie Redmond,6/12/2002,26.25,-14.03,-14.03,12.22,14.42
Microsoft Office Keyboard,Hallie Redmond,6/12/2002,1424.13,177.928,222.41,1646.54,1893.52
T65,Hallie Redmond,6/12/2002,1253.5,663.272,829.09,2082.59,2207.55
BASF Silver 74 Minute CD-R,Yoseph Carroll-Englig,6/12/2002,45.71,-17.06,-17.06,28.65,31.515
Avery 476,Shui Tom,6/12/2002,10.55,7.616,9.52,20.07,23.683
Xerox 22,Elizabeth Moffitt,6/13/2002,242.68,-33.44,-33.44,209.24,238.534
Sony Accessory16,Harold Pawlan,6/13/2002,787.73,71.288,89.11,876.84,929.45
Letter Slitter,David Flashing,6/13/2002,67.77,-17.37,-17.37,50.4,58.968
MicroTAC 650,Meg O_Connel,6/13/2002,1168.13,516.536,645.67,1813.8,2140.28
Xerox 188,Paul Prost,6/13/2002,445.53,95.224,119.03,564.56,598.434
T193,Karen Seio,6/14/2002,1192.92,429.24,536.55,1729.47,1885.12
Sony Accessory39,Yoseph Carroll-Englig,6/14/2002,243.62,-6.52,-6.52,237.1,263.181
Cameo Buff Policy Envelopes,Jennifer Patt,6/14/2002,801.2,870.24,1087.8,1889,2342.36
Xerox 227,Mathew Reese,6/14/2002,55.64,-15.48,-15.48,40.16,47.389
VariCap6(TM) Expandable Binder,David Flashing,6/14/2002,47.82,32.44,40.55,88.37,106.928
Newell 350,Deanra Eno,6/15/2002,70.08,-38.23,-38.23,31.85,37.264
Ericsson 3395,Yoseph Carroll-Englig,6/15/2002,2729.44,975.192,1218.99,3948.43,4619.66
Surelock(TM) Post Binders,Dave Hallsten,6/15/2002,27.37,27.28,34.1,61.47,73.149
Xerox 1919,Ellis Ballard,6/15/2002,474.18,317.712,397.14,871.32,1036.87
Newell 35,Jim Sink,6/15/2002,314.49,-161.21,-161.21,153.28,180.87
Fuji Slim Jewel Case CD-R,Naresj Patel,6/16/2002,75.74,-15.05,-15.05,60.69,68.58
Xerox 1888,Jack O_Briant,6/16/2002,710.57,617.128,771.41,1481.98,1659.82
BPI Conference Tables,Sue Ann Reed-Freeman,6/16/2002,3852.92,-731.84,-731.84,3121.08,3807.72
CH 688,Ellis Ballard,6/16/2002,2478.24,1504.54,1880.67,4358.91,4794.8
Rubber Band Ball,Joseph Airdo,6/17/2002,169.86,-12.61,-12.61,157.25,180.838
Sony Accessory37,Jack O_Briant,6/17/2002,858.08,14.784,18.48,876.56,1043.11
Avery 482,Debra Catini-Entman,6/17/2002,64.73,23.544,29.43,94.16,109.226
Ericsson 5165,Ellis Ballard,6/17/2002,1088.24,423.424,529.28,1617.52,1876.32
Sony Accessory17,Joseph Airdo,6/18/2002,1035.35,2.16,2.7,1038.05,1193.76
Newell 309,Barbara Fisher,6/18/2002,191.67,57.568,71.96,263.63,284.72
Rogers Jumbo File  Granite,Skye Norling-Christen,6/18/2002,516.29,-162.1,-162.1,354.19,378.983
Unpadded Memo Slips,Joseph Airdo,6/19/2002,205.06,-9.42,-9.42,195.64,242.594
Xerox 1916,Skye Norling-Christen,6/19/2002,942.55,839.504,1049.38,1991.93,2330.56
Tennsco Lockers  Gray,Harold Pawlan,6/20/2002,1873.65,-1259.82,-1259.82,613.83,730.458
Storex Dura Pro(TM) Binders,Laura Armstrong,6/20/2002,389.67,-185.87,-185.87,203.8,234.37
SlimView Poly Binder  3/8Inch,Joseph Airdo,6/21/2002,49.14,-10.45,-10.45,38.69,41.785
Tennsco Commercial Shelving,Harold Pawlan,6/22/2002,1823,-1072.97,-1072.97,750.03,847.534
ACCOHIDE Binder by Acco,Skye Norling-Christen,6/22/2002,248.74,-92.46,-92.46,156.28,176.596
Zipper Ring Binder Pockets,Skye Norling-Christen,6/22/2002,133.44,-72.67,-72.67,60.77,73.532
Xerox 1955,Laura Armstrong,6/23/2002,569.31,226.08,282.6,851.91,962.658
Xerox 1906,Robert Marley,6/23/2002,251.61,136.496,170.62,422.23,489.787
Sauder Barrister Bookcases,Deanra Eno,6/24/2002,2721.76,-772.7,-772.7,1949.06,2319.38
Tennsco Double-Tier Lockers,Laura Armstrong,6/24/2002,4576.19,701.368,876.71,5452.9,5889.13
Newell 314,Mathew Reese,6/24/2002,157.87,51.84,64.8,222.67,262.751
Xerox 1925,Mathew Reese,6/24/2002,259.02,50.216,62.77,321.79,386.148
Prang Drawing Pencil Set,Peter McVee,6/25/2002,112.5,1.384,1.73,114.23,139.361
Bell Sonecor JB700 Caller ID,Roy Skaria,6/26/2002,275.07,-42.63,-42.63,232.44,285.901
Xerox 192,David Wiener,6/26/2002,131.31,-56.19,-56.19,75.12,93.149
Ericsson 5125,Sarah Jordon-Smith,6/26/2002,6206.54,2594.49,3243.11,9449.65,10772.6
Holmes HEPA Air Purifier,Sarah Jordon-Smith,6/26/2002,740.52,208.736,260.92,1001.44,1131.63
Newell 335,Robert Marley,6/26/2002,111.01,27.72,34.65,145.66,174.792
Tennsco Lockers  Gray,David Flashing,6/26/2002,2290.02,-1518.41,-1518.41,771.61,918.216
V66,Mary O_Rourke,6/27/2002,2714.5,1465.92,1832.4,4546.9,4865.18
Stockwell Push Pins,Hilary Holden,6/27/2002,74.63,11.512,14.39,89.02,111.275
Avery Hanging File Binders,Roy Skaria,6/27/2002,38.22,14.104,17.63,55.85,60.877
Document Clip Frames,Sarah Jordon-Smith,6/27/2002,63.65,44.136,55.17,118.82,129.514
Avery 475,Mathew Reese,6/27/2002,56.8,79.968,99.96,156.76,166.166
Avery 516,Thomas Seio,6/27/2002,124.56,109.088,136.36,260.92,323.541
Xerox 1891,Sarah Jordon-Smith,6/28/2002,658.69,544.08,680.1,1338.79,1633.32
Avery Durable Binders,Barbara Fisher,6/28/2002,126.34,8.328,10.41,136.75,165.468
Novimex Fabric Task Chair,Robert Marley,6/28/2002,2180.58,-504.12,-504.12,1676.46,2011.75
Timeport L7082,Robert Marley,6/28/2002,2706.69,969.68,1212.1,3918.79,4663.36
i1000plus,Hilary Holden,6/29/2002,1444.27,694.52,868.15,2312.42,2520.54
Newell 35,Hilary Holden,6/29/2002,20.51,-6.02,-6.02,14.49,17.098
GBC Personal VeloBind Strips,Naresj Patel,6/29/2002,257.1,12.568,15.71,272.81,338.284
Crayola Colored Pencils,Roy Skaria,6/29/2002,21.48,4.488,5.61,27.09,32.508
Newell 349,Sheri Gordon,6/29/2002,116.82,11.84,14.8,131.62,161.893
Maxell CD-R Discs,Suzanne McNair,6/30/2002,36.41,-12.51,-12.51,23.9,27.963
Xerox 1902,Sarah Jordon-Smith,6/30/2002,416.57,172.904,216.13,632.7,676.989
Nokia 232,Peter McVee,6/30/2002,3429.51,1984.16,2480.2,5909.71,7150.75
Xerox 223,Thomas Seio,6/30/2002,198.82,-51.83,-51.83,146.99,180.798
Xerox Blank Computer Paper,Victor Price,6/30/2002,307.34,96.968,121.21,428.55,531.402
Xerox 1913,Mary O_Rourke,7/1/2002,717.29,629.4,786.75,1504.04,1654.44
ELITE Series,Naresj Patel,7/1/2002,1344.91,725.184,906.48,2251.39,2634.13
Xerox 1907,Nathan Mautz,7/1/2002,439.04,130.288,162.86,601.9,644.033
Hon Olson Stacker Stools,Mary O_Rourke,7/2/2002,2514.04,611.88,764.85,3278.89,3442.83
Xerox 1907,Hilary Holden,7/2/2002,214.64,52.056,65.07,279.71,299.29
Acco Hot Clips(TM) Clips to Go,Sarah Jordon-Smith,7/2/2002,133.3,34.056,42.57,175.87,195.216
Xerox 2000,Meg O_Connel,7/2/2002,82.78,-27.24,-27.24,55.54,67.759
Eldon Gobal File Keepers,Mary O_Rourke,7/3/2002,722.12,-100.68,-100.68,621.44,658.726
Xerox 1952,Dave Hallsten,7/3/2002,22.15,-2.41,-2.41,19.74,20.727
Xerox 1984,Dave Hallsten,7/3/2002,11.07,3.264,4.08,15.15,18.18
Xerox 1911,Olvera Toch,7/3/2002,948.49,844.856,1056.07,2004.56,2305.24
Xerox 1997,Ellis Ballard,7/3/2002,435.67,-199.93,-199.93,235.74,282.888
Acco Keyboard-In-A-Box,Jane Waco,7/3/2002,667.45,26.736,33.42,700.87,827.027
Xerox 1956,Naresj Patel,7/4/2002,51.19,-5.15,-5.15,46.04,50.184
Sony Accessory15,Olvera Toch,7/4/2002,810.11,128.048,160.06,970.17,1144.8
Sony Accessory11,Meg O_Connel,7/4/2002,72.61,70.712,88.39,161,188.37
Xerox 1988,Meg Tillman-Sachs,7/4/2002,712.4,-11.9,-11.9,700.5,798.57
Xerox 1894,Paul Prost,7/4/2002,172.35,-43.19,-43.19,129.16,143.368
Newell 345,Iggy Osterman,7/5/2002,922.59,-103.57,-103.57,819.02,966.444
Verbatim 4.7GB DVD-R,Roy Skaria,7/5/2002,297.14,303.72,379.65,676.79,812.148
Rubber Band Ball,Dave Hallsten,7/5/2002,137.5,-8.13,-8.13,129.37,148.775
Newell 322,Nathan Mautz,7/5/2002,19.56,-1.01,-1.01,18.55,22.26
i700plus,Meg O_Connel,7/5/2002,317.38,177.16,221.45,538.83,657.373
KH 688,Meg O_Connel,7/5/2002,347.74,215.704,269.63,617.37,660.586
Prestige Round Ring Binders,Paul Prost,7/5/2002,91.21,46.888,58.61,149.82,176.788
Newell 345,Mathew Reese,7/6/2002,729.49,-105.89,-105.89,623.6,735.848
Sony A1228,Ellis Ballard,7/6/2002,6010.55,3240.07,4050.09,10060.6,10664.3
Xerox 1972,Paul Prost,7/6/2002,95.54,-23.31,-23.31,72.23,79.453
V 3600 Series,Suzanne McNair,7/7/2002,803.49,212.184,265.23,1068.72,1164.9
StarTAC ST7867,Mathew Reese,7/7/2002,3597.98,1626.86,2033.58,5631.56,6419.98
Newell 334,Meg O_Connel,7/7/2002,156.12,10.68,13.35,169.47,199.975
Xerox 216,Ellis Ballard,7/7/2002,10.31,2.904,3.63,13.94,17.146
Timeport P8167,Meg Tillman-Sachs,7/7/2002,555.48,238.72,298.4,853.88,956.346
Newell 325,Suzanne McNair,7/8/2002,52.52,9.056,11.32,63.84,77.246
Sony Accessory13,William Brown,7/8/2002,1044.69,541.288,676.61,1721.3,2099.99
GBC Wire Binding Strips,Henia Zydlo,7/8/2002,292.37,80.632,100.79,393.16,491.45
Xerox 188,Mathew Reese,7/8/2002,290.96,45.576,56.97,347.93,368.806
Hon Mobius(TM) Operator_s Chair,Jane Waco,7/8/2002,5135.66,-108.33,-108.33,5027.33,5630.61
Xerox 1943,Paul Prost,7/8/2002,35.32,25.152,31.44,66.76,74.104
Sony Accessory32,Paul Prost,7/9/2002,979.79,1234.66,1543.32,2523.11,3103.43
Xerox 1912,William Brown,7/10/2002,36.51,21.28,26.6,63.11,66.266
Safco Industrial Shelving,Harold Pawlan,7/10/2002,2197.81,-379.33,-379.33,1818.48,2200.36
Zipper Ring Binder Pockets,Ellis Ballard,7/10/2002,311.35,-176.96,-176.96,134.39,162.612
Cameo Buff Policy Envelopes,MaryBeth Skach,7/10/2002,50.07,50.448,63.06,113.13,140.281
3M Office Air Cleaner,William Brown,7/11/2002,771.12,251.424,314.28,1085.4,1237.36
Avery 511,Henia Zydlo,7/11/2002,27.68,12.552,15.69,43.37,49.875
Hon Olson Stacker Stools,Mary Zewe,7/11/2002,2723.54,828.184,1035.23,3758.77,3946.71
Nontoxic Chalk,Nathan Mautz,7/11/2002,57.79,4.6,5.75,63.54,75.613
Avery 510,Ellis Ballard,7/11/2002,52.85,38.584,48.23,101.08,122.307
Newell 320,MaryBeth Skach,7/11/2002,40.82,3.384,4.23,45.05,54.961
Sauder Barrister Bookcases,Meg Tillman-Sachs,7/11/2002,3061.98,-881.15,-881.15,2180.83,2595.19
Xerox 188,Yoseph Carroll-Englig,7/12/2002,27.28,17.056,21.32,48.6,51.516
Xerox 1964,Rick Reed,7/12/2002,1001.93,174.64,218.3,1220.23,1403.27
Sony Accessory11,Ellis Ballard,7/12/2002,217.83,212.424,265.53,483.36,565.531
Letter Size File,Henia Zydlo,7/13/2002,1366.71,513.464,641.83,2008.54,2450.42
Newell 309,Heather Jas-Hannaway,7/13/2002,392.06,107.368,134.21,526.27,568.372
Xerox 1905,Ellis Ballard,7/13/2002,573,-262.06,-262.06,310.94,379.347
Wilson Jones Impact Binders,Heather Jas-Hannaway,7/14/2002,60.84,-5.25,-5.25,55.59,67.82
Maxell 4.7GB DVD-RW 3/Pack,David Flashing,7/14/2002,29.86,23.48,29.35,59.21,62.763
Xerox 1903,Naresj Patel,7/15/2002,31.77,-0.92,-0.92,30.85,35.786
Xerox 207,Yoseph Carroll-Englig,7/15/2002,46.79,-2.12,-2.12,44.67,55.391
Economy Rollaway Files,David Flashing,7/15/2002,5637.98,2288.27,2860.34,8498.32,9178.19
Xerox 1981,Ellis Ballard,7/15/2002,376.42,-119.89,-119.89,256.53,305.271
Sony Accessory32,Mary O_Rourke,7/16/2002,1021.48,1413.84,1767.3,2788.78,3430.2
Xerox 1911,Mary O_Rourke,7/16/2002,316.16,234.736,293.42,609.58,701.017
Newell 340,Henia Zydlo,7/16/2002,25.44,5.776,7.22,32.66,40.172
Staples 6 Outlet Surge,Naresj Patel,7/17/2002,441.14,1.768,2.21,443.35,536.454
Staples Metal Binder Clips,Yoseph Carroll-Englig,7/17/2002,67.41,23.488,29.36,96.77,110.318
Sony Accessory18,Heather Jas-Hannaway,7/17/2002,544.85,66.96,83.7,628.55,716.547
Xerox 1997,Skye Norling-Christen,7/17/2002,510.35,-213.37,-213.37,296.98,356.376
Xerox 209,Mathew Reese,7/17/2002,500.17,-168.74,-168.74,331.43,394.402
Newell 326,Debra Catini-Entman,7/17/2002,72.48,3.608,4.51,76.99,85.459
i700plus,Paul Prost,7/17/2002,3729.18,1672.4,2090.5,5819.68,7100.01
V8160,Paul Prost,7/17/2002,1380.9,613.656,767.07,2147.97,2599.04
Newell Chalk Holder,Heather Jas-Hannaway,7/18/2002,122.7,56.376,70.47,193.17,227.941
Portable Personal File Box,Barbara Fisher,7/18/2002,380.54,23.2,29,409.54,450.494
Tennsco Double-Tier Lockers,Rick Reed,7/18/2002,5148.21,803.672,1004.59,6152.8,6645.02
Things To Do Today Pad,Mathew Reese,7/19/2002,179.16,63.8,79.75,258.91,305.514
TDK 4.7GB DVD-R,Shui Tom,7/19/2002,127.98,61.872,77.34,205.32,250.49
Fiskars Softgrip Scissors,Victor Price,7/19/2002,259.97,33.784,42.23,302.2,359.618
BIC Liqua Brite Liner,Naresj Patel,7/20/2002,165.14,51.792,64.74,229.88,252.868
Bevis Steel Folding Chairs,Suzanne McNair,7/20/2002,4903.58,-1184.59,-1184.59,3718.99,4537.17
i1000,David Wiener,7/20/2002,1283.66,499.032,623.79,1907.45,2136.34
UniKeep(TM) View Case Binders,Barbara Fisher,7/20/2002,398.86,-136.06,-136.06,262.8,283.824
Avery 5,Robert Marley,7/20/2002,76.84,60.96,76.2,153.04,165.283
DAX Wood Document Frame.,Henia Zydlo,7/21/2002,684.68,-33.55,-33.55,651.13,703.22
Xerox 1894,Jennifer Patt,7/21/2002,267.15,-50.01,-50.01,217.14,241.025
Xerox 1946,Jennifer Patt,7/21/2002,57.45,-3.56,-3.56,53.89,58.74
Canon PC940 Copier,Naresj Patel,7/22/2002,6159.89,5345.39,6681.74,12841.6,14896.3
Letter Size Cart,Henia Zydlo,7/22/2002,1799.85,707.264,884.08,2683.93,2844.97
i85s,Jason Gross,7/22/2002,2111.6,826.488,1033.11,3144.71,3742.2
Avery 494,Heather Jas-Hannaway,7/22/2002,62.23,39.376,49.22,111.45,128.168
DPC 650 Piper,Jennifer Patt,7/22/2002,1604.81,763.936,954.92,2559.73,3148.47
Executive Impressions 14Inch,Jennifer Patt,7/22/2002,99.36,46.472,58.09,157.45,185.791
Sony 6160M,Paul Prost,7/22/2002,2722.93,962.464,1203.08,3926.01,4318.61
Xerox 1986,Jason Gross,7/23/2002,346.94,-37.33,-37.33,309.61,352.955
Prismacolor Color Pencil Set,Jennifer Patt,7/23/2002,282.25,115.56,144.45,426.7,503.506
Newell Chalk Holder,Deanra Eno,7/24/2002,83.54,35.128,43.91,127.45,150.391
Xerox 196,Lynn Smith-Reed,7/24/2002,210.86,-85.21,-85.21,125.65,143.241
Acco Hot Clips(TM) Clips to Go,Barbara Fisher,7/24/2002,133.3,31.144,38.93,172.23,191.175
Avery Binder Labels,Barbara Fisher,7/24/2002,312.62,-164.6,-164.6,148.02,165.782
Hon Olson Stacker Stools,Ellis Ballard,7/24/2002,628.51,221.944,277.43,905.94,951.237
50 Colored Long Pencils,Lynn Smith-Reed,7/25/2002,267.02,32.576,40.72,307.74,375.443
Talkabout T8097,David Wiener,7/25/2002,2569.28,1259.53,1574.41,4143.69,4640.93
Acco Keyboard-In-A-Box,Sheri Gordon,7/25/2002,1345.63,55.072,68.84,1414.47,1669.08
Newell 338,Robert Marley,7/25/2002,105.83,17.912,22.39,128.22,142.324
Sony Accessory5,Noel Staavos,7/26/2002,272.27,59.24,74.05,346.32,377.489
Ericsson 8860,Lynn Smith-Reed,7/27/2002,1899.65,931.4,1164.25,3063.9,3707.32
Xerox 1999,Noel Staavos,7/27/2002,265.9,-53.67,-53.67,212.23,231.331
Hon Metal Bookcases  Gray,Patrick O_Brill,7/27/2002,2397.8,-208.55,-208.55,2189.25,2714.67
BPI Conference Tables,Robert Marley,7/27/2002,2802.12,-433.73,-433.73,2368.39,2889.44
Avery 489,Jesus Ocampo,7/28/2002,95.25,111.976,139.97,235.22,256.39
Avery 503,Lynn Smith-Reed,7/28/2002,24.1,21.296,26.62,50.72,57.821
Xerox 1959,Lynn Smith-Reed,7/29/2002,244.29,-59.97,-59.97,184.32,213.811
DAX Cubicle Frames - 8x10,David Wiener,7/29/2002,245.52,-76.24,-76.24,169.28,192.979
Plastic Binding Combs,Debra Catini-Entman,7/29/2002,524.27,2.936,3.67,527.94,601.852
Avery 486,Shui Tom,7/29/2002,65.56,63.32,79.15,144.71,172.205
Sony Accessory42,Noel Staavos,7/30/2002,118.53,121.52,151.9,270.43,294.769
i50sx,Sue Ann Reed-Freeman,7/30/2002,41.84,17.928,22.41,64.25,78.385
Xerox 1911,Olvera Toch,7/30/2002,1083.98,887.568,1109.46,2193.44,2522.46
Xerox 1890,Hallie Redmond,7/31/2002,720.93,586.168,732.71,1453.64,1628.08
Xerox 1946,Naresj Patel,7/31/2002,8.21,3.104,3.88,12.09,13.178
Acme Softgrip Scissors,Jack O_Briant,7/31/2002,423.14,-111.06,-111.06,312.08,377.617
Xerox 1941,Jack O_Briant,7/31/2002,1303.33,1370.06,1712.58,3015.91,3468.3
Ericsson 6190,Jasper Cacioppo,7/31/2002,426.74,268.352,335.44,762.18,846.02
Ericsson 7190,Noel Staavos,7/31/2002,3773.19,2504.04,3130.05,6903.24,7455.5
GBC Linen Binding Covers,Olvera Toch,7/31/2002,254.02,79.656,99.57,353.59,410.164
Xerox 213,Olvera Toch,7/31/2002,184.64,-54.32,-54.32,130.32,157.687
Profile 300,Lena Cacioppo,7/31/2002,1745.89,601.312,751.64,2497.53,2772.26
Sauder Barrister Bookcases,Hallie Redmond,8/1/2002,1247.47,-305.64,-305.64,941.83,1120.78
Sony 6162I,Naresj Patel,8/1/2002,1984.23,946.912,1183.64,3167.87,3643.05
Holmes HEPA Air Purifier,Pierre Wener,8/1/2002,723.69,167.696,209.62,933.31,1054.64
Sterling V.92 PCI Softmodem,Pierre Wener,8/1/2002,126.99,46.064,57.58,184.57,201.181
Xerox 218,Suzanne McNair,8/1/2002,116.76,-8.22,-8.22,108.54,118.309
Fellowes Binding Cases,Noel Staavos,8/1/2002,195.89,23.744,29.68,225.57,259.405
KI Conference Tables,Noel Staavos,8/1/2002,6315.34,-2815.24,-2815.24,3500.1,4305.12
Ericsson 5180,David Wiener,8/1/2002,1424.28,493.848,617.31,2041.59,2449.91
Tennsco Lockers  Gray,Henia Zydlo,8/1/2002,208.18,-93.03,-93.03,115.15,137.029
Vinyl Sectional Post Binders,David Flashing,8/1/2002,744.51,791.2,989,1733.51,1837.52
Xerox 1920,Joseph Airdo,8/2/2002,158.27,-61.21,-61.21,97.06,111.619
Xerox 1998,Lynn Smith-Reed,8/2/2002,254.75,-46.64,-46.64,208.11,220.597
Xerox 1932,Noel Staavos,8/2/2002,296.92,219.032,273.79,570.71,679.145
Xerox 1938,Noel Staavos,8/2/2002,188.66,149.896,187.37,376.03,417.393
Xerox 231,Noel Staavos,8/2/2002,30.03,9.936,12.42,42.45,46.271
Ericsson 8860,Roy Skaria,8/2/2002,1815.22,728.56,910.7,2725.92,3298.36
V2260,Nathan Mautz,8/2/2002,747.26,325.288,406.61,1153.87,1430.8
Xerox 1936,Patrick O_Brill,8/2/2002,664.56,253.528,316.91,981.47,1187.58
Rogers Deluxe File Chest,Debra Catini-Entman,8/2/2002,797.75,-50.21,-50.21,747.54,867.146
iDENi80s,Shui Tom,8/2/2002,2356.96,388.232,485.29,2842.25,2984.36
Logitech Access Keyboard,Shui Tom,8/2/2002,297.38,125.192,156.49,453.87,535.567
StarTAC 7797,Jim Sink,8/2/2002,2651.78,1402.45,1753.06,4404.84,5462
Sony Accessory12,Naresj Patel,8/3/2002,847.51,1087.34,1359.17,2206.68,2427.35
Staples Bulldog Clip,Naresj Patel,8/3/2002,83,54.552,68.19,151.19,178.404
Hon Olson Stacker Stools,Lena Cacioppo,8/3/2002,838.01,268.392,335.49,1173.5,1232.17
Sony Accessory6,Robert Marley,8/3/2002,796.67,101.968,127.46,924.13,1044.27
Newell 350,Deanra Eno,8/4/2002,70.08,-37.27,-37.27,32.81,38.388
